,1,Fecha
14,35.11235740407177,2002-03-31
15,34.24677357841655,2002-04-30
16,29.01484526802925,2002-05-31
17,35.95230365161711,2002-06-30
18,34.64861366828675,2002-07-31
19,27.83595114941094,2002-08-31
20,29.49897711063711,2002-09-30
21,29.704568338179254,2002-10-31
22,27.085233779031014,2002-11-30
23,26.8635800729058,2002-12-31
24,24.81247891166344,2003-01-31
25,25.99371015232481,2003-02-28
26,38.067316544869634,2003-03-31
27,29.73632108680289,2003-04-30
28,30.096026362604448,2003-05-31
29,39.75381232794139,2003-06-30
30,33.49459732498568,2003-07-31
31,33.64512877545212,2003-08-31
32,27.977212922716088,2003-09-30
33,21.94412253662013,2003-10-31
34,28.220019181335026,2003-11-30
35,22.810386468239532,2003-12-31
36,22.208213203086338,2004-01-31
37,35.577634641877545,2004-02-29
38,34.543536780885574,2004-03-31
39,21.6218007409302,2004-04-30
40,26.338370317661287,2004-05-31
41,31.73565483045219,2004-06-30
42,35.76925716473809,2004-07-31
43,26.395983343215914,2004-08-31
44,33.64222252896185,2004-09-30
45,28.33264931900588,2004-10-31
46,32.961872975017265,2004-11-30
47,20.65097749416286,2004-12-31
48,27.465787687070797,2005-01-31
49,29.24230617144917,2005-02-28
50,40.497776942179385,2005-03-31
51,32.01218899702376,2005-04-30
52,34.735495931270606,2005-05-31
53,38.47543142417815,2005-06-30
54,35.124544873090855,2005-07-31
55,29.12852881482087,2005-08-31
56,29.504051401889463,2005-09-30
57,26.643167068280192,2005-10-31
58,22.34967864572683,2005-11-30
59,25.690856007963408,2005-12-31
60,26.10316777039781,2006-01-31
61,36.802328744888136,2006-02-28
62,30.78689354495429,2006-03-31
63,31.02789645415975,2006-04-30
64,36.66762570714877,2006-05-31
65,42.83288118587763,2006-06-30
66,36.12331585194304,2006-07-31
67,25.22184102527069,2006-08-31
68,28.287670892006226,2006-09-30
69,32.30235023240344,2006-10-31
70,31.329759135638806,2006-11-30
71,25.79584437451806,2006-12-31
72,36.270202987585705,2007-01-31
73,29.69802793004476,2007-02-28
74,29.645428111052308,2007-03-31
75,30.702032634613673,2007-04-30
76,30.53796802000048,2007-05-31
77,27.853267738888093,2007-06-30
78,31.53091876516176,2007-07-31
79,29.695401275421162,2007-08-31
80,29.153728878829952,2007-09-30
81,26.472274599588342,2007-10-31
82,38.89339390083687,2007-11-30
83,28.28744244592113,2007-12-31
84,32.93723835991283,2008-01-31
85,34.64804306157925,2008-02-29
86,23.3416737810706,2008-03-31
87,24.673715864117604,2008-04-30
88,23.25226614275819,2008-05-31
89,23.137710832049304,2008-06-30
90,25.680809774477602,2008-07-31
91,23.16324069751816,2008-08-31
92,24.710823415300773,2008-09-30
93,31.15425152685339,2008-10-31
94,20.182579808775717,2008-11-30
95,20.82977163250511,2008-12-31
96,18.92777486093446,2009-01-31
97,25.48314489679712,2009-02-28
98,28.73397174278833,2009-03-31
99,19.2329455313734,2009-04-30
100,28.558336690400427,2009-05-31
101,25.66190334551666,2009-06-30
102,25.63160565757171,2009-07-31
103,23.5671612963412,2009-08-31
104,22.742672926011025,2009-09-30
105,23.445264374700862,2009-10-31
106,27.30934764112793,2009-11-30
107,17.708222497506735,2009-12-31
108,17.405147320268572,2010-01-31
109,17.633226819559646,2010-02-28
110,27.876883488197,2010-03-31
111,21.625204429927077,2010-04-30
112,18.860221163700228,2010-05-31
113,19.83096042674179,2010-06-30
114,24.24848033172968,2010-07-31
115,21.536846010842932,2010-08-31
116,20.0949872508926,2010-09-30
117,21.018377160656524,2010-10-31
118,17.926363323183093,2010-11-30
119,20.538174426969682,2010-12-31
120,25.59699474794517,2011-01-31
121,26.29515401693897,2011-02-28
122,21.30529826619143,2011-03-31
123,24.652416774352197,2011-04-30
124,20.99982888851412,2011-05-31
125,19.59346320950626,2011-06-30
126,21.31697400692089,2011-07-31
127,23.102519267970013,2011-08-31
128,21.99154770164321,2011-09-30
129,24.441703201819426,2011-10-31
130,19.247260542646263,2011-11-30
131,17.943079023050608,2011-12-31
132,23.29036971199495,2012-01-31
133,25.647737973012706,2012-02-29
134,27.947709739263807,2012-03-31
135,15.694662289468884,2012-04-30
136,20.008140609301513,2012-05-31
137,25.043164487924393,2012-06-30
138,22.512194745049268,2012-07-31
139,25.770376547396783,2012-08-31
140,21.197684953869988,2012-09-30
141,19.5926310805232,2012-10-31
142,17.639700886062574,2012-11-30
143,18.38449771553188,2012-12-31
144,18.221587825537643,2013-01-31
145,17.103670534054437,2013-02-28
146,16.154087606739562,2013-03-31
147,18.25428192203429,2013-04-30
148,16.831029974193964,2013-05-31
149,20.632804520763965,2013-06-30
150,23.62111745662891,2013-07-31
151,21.252797597981527,2013-08-31
152,20.630053281290788,2013-09-30
153,20.03267632392315,2013-10-31
154,16.972348894074898,2013-11-30
155,23.007033288985607,2013-12-31
156,17.171057802170697,2014-01-31
157,15.746430556034793,2014-02-28
158,23.44850831613401,2014-03-31
159,17.973530630560692,2014-04-30
160,16.64365119810618,2014-05-31
161,20.22220864620067,2014-06-30
162,18.61766113671174,2014-07-31
163,18.686919957322157,2014-08-31
164,20.689024612327906,2014-09-30
165,24.765133995157253,2014-10-31
166,23.27857885010377,2014-11-30
167,17.879182831838147,2014-12-31
168,20.498432298138628,2015-01-31
169,18.960199596252533,2015-02-28
170,21.42804972593136,2015-03-31
171,20.85452878460953,2015-04-30
172,21.84469260062395,2015-05-31
173,20.5586831551656,2015-06-30
174,25.231783510455394,2015-07-31
175,20.670335222284827,2015-08-31
176,17.74480353723185,2015-09-30
177,19.2427080949542,2015-10-31
