fecha,arsenico,benpirenos,cadmio,niquel
2008-03-31,1.093210258219098,0.12081395730706071,0.5565866291573432,4.933655734605159
2008-06-30,1.302040113683567,0.0745923856005106,0.5511038455255126,4.529124981849425
2008-09-30,0.9873487046807582,0.06743507718316541,0.32747165155187735,4.20472549624539
2008-12-31,0.9786991118498242,0.3901869038351487,0.28880045282882916,3.022980825923339
2009-03-31,1.1783713634637234,0.11683965802044297,0.34786914755515985,3.725913856271612
2009-06-30,1.0147187553114978,0.05745570968247441,0.18576944333118434,4.102456354025241
2009-09-30,1.0860265380928127,0.06308827734765236,0.3332206396788717,3.797753534471448
2009-12-31,1.0082330042393524,0.1471159350861557,0.3230162838890381,2.9870853494962666
2010-03-31,1.0863810402005287,0.1577215935901894,0.5092109863485127,3.236845586611244
2010-06-30,0.9702658390197672,0.06754015410515411,0.33096340053490464,3.694289754358759
2010-09-30,0.896019897768213,0.07751922025762774,0.31386282812774247,3.379823506307426
2010-12-31,1.1004441414779518,0.43491646022868685,0.5961976865822256,3.2500503145133606
2011-03-31,0.893003207581014,0.12369776510965311,0.625508615704627,2.759707411984617
2011-06-30,1.128078115259991,0.05999159590409591,0.36268218790659146,3.2684521886934923
2011-09-30,1.2075151347753434,0.07137404011865042,0.5027828089807852,4.553489419589742
2011-12-31,0.8672544926189178,0.3266624554024933,0.3598545651561879,3.1494548996917873
2012-03-31,1.0833952031356326,0.14574863443008607,0.3831115119343812,3.963383999035398
2012-06-30,1.2722878769796078,0.07327744847744848,0.306668711937957,5.120587982386244
2012-09-30,1.0151477986415147,0.07234467978076674,0.23737204419290797,4.203080765472356
2012-12-31,0.7895356132759683,0.30568050045832307,0.3128975952560158,3.246528620075449
2013-03-31,1.7118787332712446,0.12035508103950383,0.22838710734219334,4.084679449180134
2013-06-30,0.8985694447275169,0.07931935957825548,0.22303794060707238,5.4070292783652825
2013-09-30,2.3041102583442887,0.07740214513642533,0.2274007443806089,5.9718296656095236
2013-12-31,2.3200494348523275,0.4753312879245991,0.25230619882532396,7.335730089495088
2014-03-31,0.7579593291441366,0.11862868482191234,0.3770417757460585,3.6103874787829255
2014-06-30,0.6755635380129519,0.0726785706135346,0.2826232076099607,4.06895219688036
2014-09-30,0.634101111874834,0.11565020990746254,0.25942327577311164,3.9045871539426833
2014-12-31,0.695029047546393,0.4629242334845954,0.2771256896216258,2.3877403555524506
2015-03-31,0.781716170656016,0.12265495930395935,0.3740037467204763,3.062228518867785
2015-06-30,0.5959440868980957,0.06372134144258987,0.29552351001069926,3.365950662898209
2015-09-30,0.709576078687402,0.067900526529105,0.3890073667105887,3.004558649462468
2015-12-31,0.6981286686227579,0.584241451919505,0.503148962621282,3.5354031560556254
2016-03-31,0.5848295992612097,0.1311909324085772,0.26906306603324237,2.3470411853312436
2016-06-30,0.6903547287707131,0.10141542899591312,0.3375317220222548,3.9092647180900757
2016-09-30,0.6662336383639699,0.1415171957769938,0.2660134256179414,3.2190805394665043
2016-12-31,0.6863201823134699,0.5816311902679013,0.343502212575738,2.4682211876061415
