,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016
0,47.293600121500546,36.87809430065286,24.81247891166344,22.208213203086338,27.465787687070797,26.10316777039781,36.2702029875857,32.93723835991283,18.92777486093446,17.405147320268572,25.59699474794517,23.29036971199495,18.221587825537643,17.171057802170697,20.49843229813863,20.215708876772776
1,55.12832770668076,37.37394961275929,25.99371015232481,35.577634641877545,29.242306171449172,36.80232874488813,29.698027930044756,34.64804306157925,25.483144896797125,17.633226819559646,26.295154016938966,25.647737973012703,17.103670534054437,15.746430556034792,18.960199596252533,22.846951590641684
2,32.60609223349655,35.112357404071766,38.06731654486963,34.54353678088557,40.497776942179385,30.78689354495429,29.64542811105231,23.3416737810706,28.733971742788327,27.876883488197002,21.30529826619143,27.947709739263814,16.15408760673956,23.44850831613401,21.42804972593136,16.49048683583613
3,28.833526303889805,34.24677357841655,29.736321086802885,21.621800740930198,32.012188997023756,31.027896454159748,30.70203263461367,24.673715864117604,19.2329455313734,21.625204429927077,24.652416774352197,15.694662289468884,18.25428192203429,17.97353063056069,20.854528784609535,14.96567775509253
4,31.295070023254656,29.014845268029248,30.096026362604444,26.338370317661283,34.735495931270606,36.667625707148765,30.537968020000477,23.252266142758195,28.55833669040043,18.860221163700228,20.99982888851412,20.008140609301513,16.831029974193964,16.64365119810618,21.844692600623954,16.677102657781976
5,32.78615552600111,35.95230365161711,39.75381232794139,31.735654830452187,38.47543142417815,42.83288118587763,27.853267738888086,23.137710832049304,25.66190334551666,19.83096042674179,19.59346320950626,25.043164487924393,20.632804520763965,20.22220864620067,20.5586831551656,19.827451319549787
6,30.895708835414467,34.64861366828675,33.494597324985676,35.769257164738086,35.12454487309086,36.12331585194304,31.53091876516176,25.6808097744776,25.63160565757171,24.24848033172968,21.31697400692089,22.512194745049264,23.62111745662891,18.61766113671174,25.231783510455394,22.51412476373303
7,31.05572652451532,27.83595114941094,33.64512877545212,26.395983343215914,29.12852881482087,25.221841025270688,29.695401275421162,23.16324069751816,23.5671612963412,21.536846010842936,23.10251926797001,25.770376547396783,21.252797597981527,18.686919957322154,20.670335222284827,21.615364748004506
8,29.5031078633107,29.49897711063711,27.97721292271609,33.64222252896185,29.504051401889463,28.287670892006222,29.15372887882995,24.710823415300776,22.742672926011025,20.0949872508926,21.99154770164321,21.19768495386999,20.63005328129079,20.689024612327906,17.744803537231853,19.828937531441838
9,31.72375908131748,29.704568338179257,21.944122536620128,28.332649319005878,26.643167068280192,32.30235023240344,26.472274599588342,31.15425152685339,23.445264374700866,21.018377160656524,24.441703201819422,19.5926310805232,20.03267632392315,24.76513399515725,19.242708094954196,22.152234393811096
10,28.172920269021255,27.085233779031018,28.220019181335026,32.96187297501726,22.34967864572683,31.329759135638803,38.89339390083687,20.182579808775714,27.309347641127932,17.926363323183093,19.24726054264626,17.639700886062574,16.972348894074898,23.278578850103774,22.327421332773167,18.91783288289984
11,30.501190599587055,26.8635800729058,22.810386468239535,20.65097749416286,25.690856007963408,25.79584437451806,28.287442445921126,20.82977163250511,17.708222497506732,20.538174426969682,17.94307902305061,18.384497715531882,23.007033288985603,17.87918283183815,34.64482753060011,18.779441458535263
