fecha,contaminante,Tasa paro
2002-03-31,35.11235740407177,11.55
2002-06-30,35.95230365161711,11.15
2002-09-30,29.49897711063711,11.49
2002-12-31,26.8635800729058,11.61
2003-03-31,38.067316544869634,11.99
2003-06-30,39.75381232794139,11.28
2003-09-30,27.977212922716088,11.3
2003-12-31,22.810386468239532,11.37
2004-03-31,34.543536780885574,11.5
2004-06-30,31.73565483045219,11.09
2004-09-30,33.64222252896185,10.74
2004-12-31,20.65097749416286,10.53
2005-03-31,40.497776942179385,10.17
2005-06-30,38.47543142417815,9.32
2005-09-30,29.504051401889463,8.41
2005-12-31,25.690856007963408,8.71
2006-03-31,30.78689354495429,9.03
2006-06-30,42.83288118587763,8.44
2006-09-30,28.287670892006226,8.08
2006-12-31,25.79584437451806,8.26
2007-03-31,29.645428111052308,8.42
2007-06-30,27.853267738888093,7.93
2007-09-30,29.153728878829952,8.01
2007-12-31,28.28744244592113,8.57
2008-03-31,23.3416737810706,9.6
2008-06-30,23.137710832049304,10.36
2008-09-30,24.71082341530077,11.23
2008-12-31,20.82977163250511,13.79
2009-03-31,28.73397174278833,17.24
2009-06-30,25.66190334551666,17.77
2009-09-30,22.742672926011025,17.75
2009-12-31,17.708222497506735,18.66
2010-03-31,27.876883488197,19.84
2010-06-30,19.83096042674179,19.89
2010-09-30,20.0949872508926,19.59
2010-12-31,20.538174426969682,20.11
2011-03-31,21.30529826619143,21.08
2011-06-30,19.59346320950626,20.64
2011-09-30,21.99154770164321,21.28
2011-12-31,17.943079023050608,22.56
2012-03-31,27.947709739263807,24.19
2012-06-30,25.043164487924393,24.4
2012-09-30,21.197684953869988,24.79
2012-12-31,18.38449771553188,25.77
2013-03-31,16.154087606739562,26.94
2013-06-30,20.632804520763965,26.06
2013-09-30,20.630053281290788,25.65
2013-12-31,23.00703328898561,25.73
2014-03-31,23.44850831613401,25.93
2014-06-30,20.22220864620067,24.47
2014-09-30,20.689024612327906,23.67
2014-12-31,17.879182831838147,23.7
2015-03-31,21.42804972593136,23.78
2015-06-30,20.5586831551656,22.37
2015-09-30,17.74480353723185,21.18
2015-12-31,34.64482753060011,20.9
2016-03-31,16.49048683583613,21.0
2016-06-30,19.82745131954979,20.0
2016-09-30,19.828937531441838,18.91
2016-12-31,18.779441458535267,18.63
