D14
0.35



0.0

0.18
0.35
0.35
0.35
0.35
0.35
0.15
0.05
0.05
0.35
0.35
0.35
0.35
0.35
0.05
0.05
0.05

0.56




0.73



0.57
0.55
0.55
0.55



0.56




1.0


1.0
1.0
1.0

1.0
1.1
1.1
1.1

























0.35
0.2

0.2
0.2









0.26
0.38
