Fecha,contaminante,paro
2002-03-31,35.11235740407177,11.55
2002-04-30,34.24677357841655,11.55
2002-05-31,29.01484526802925,11.55
2002-06-30,35.95230365161711,11.15
2002-07-31,34.64861366828675,11.15
2002-08-31,27.83595114941094,11.15
2002-09-30,29.49897711063711,11.49
2002-10-31,29.70456833817925,11.49
2002-11-30,27.08523377903101,11.49
2002-12-31,26.8635800729058,11.61
2003-01-31,24.81247891166344,11.61
2003-02-28,25.99371015232481,11.61
2003-03-31,38.067316544869634,11.99
2003-04-30,29.736321086802892,11.99
2003-05-31,30.09602636260445,11.99
2003-06-30,39.75381232794139,11.28
2003-07-31,33.49459732498568,11.28
2003-08-31,33.64512877545212,11.28
2003-09-30,27.977212922716088,11.3
2003-10-31,21.94412253662013,11.3
2003-11-30,28.220019181335026,11.3
2003-12-31,22.810386468239532,11.37
2004-01-31,22.208213203086338,11.37
2004-02-29,35.577634641877545,11.37
2004-03-31,34.543536780885574,11.5
2004-04-30,21.6218007409302,11.5
2004-05-31,26.33837031766129,11.5
2004-06-30,31.73565483045219,11.09
2004-07-31,35.76925716473809,11.09
2004-08-31,26.395983343215914,11.09
2004-09-30,33.64222252896185,10.74
2004-10-31,28.33264931900588,10.74
2004-11-30,32.961872975017265,10.74
2004-12-31,20.65097749416286,10.53
2005-01-31,27.465787687070797,10.53
2005-02-28,29.24230617144917,10.53
2005-03-31,40.497776942179385,10.17
2005-04-30,32.01218899702376,10.17
2005-05-31,34.735495931270606,10.17
2005-06-30,38.47543142417815,9.32
2005-07-31,35.124544873090855,9.32
2005-08-31,29.12852881482087,9.32
2005-09-30,29.504051401889463,8.41
2005-10-31,26.643167068280192,8.41
2005-11-30,22.34967864572683,8.41
2005-12-31,25.690856007963408,8.71
2006-01-31,26.10316777039781,8.71
2006-02-28,36.802328744888136,8.71
2006-03-31,30.78689354495429,9.03
2006-04-30,31.02789645415975,9.03
2006-05-31,36.66762570714877,9.03
2006-06-30,42.83288118587763,8.44
2006-07-31,36.12331585194304,8.44
2006-08-31,25.22184102527069,8.44
2006-09-30,28.287670892006226,8.08
2006-10-31,32.30235023240344,8.08
2006-11-30,31.32975913563881,8.08
2006-12-31,25.79584437451806,8.26
2007-01-31,36.270202987585705,8.26
2007-02-28,29.69802793004476,8.26
2007-03-31,29.645428111052308,8.42
2007-04-30,30.702032634613676,8.42
2007-05-31,30.53796802000048,8.42
2007-06-30,27.853267738888093,7.93
2007-07-31,31.53091876516176,7.93
2007-08-31,29.695401275421162,7.93
2007-09-30,29.153728878829952,8.01
2007-10-31,26.472274599588342,8.01
2007-11-30,38.89339390083687,8.01
2007-12-31,28.28744244592113,8.57
2008-01-31,32.93723835991283,8.57
2008-02-29,34.64804306157925,8.57
2008-03-31,23.3416737810706,9.6
2008-04-30,24.673715864117604,9.6
2008-05-31,23.25226614275819,9.6
2008-06-30,23.137710832049304,10.36
2008-07-31,25.680809774477602,10.36
2008-08-31,23.16324069751816,10.36
2008-09-30,24.71082341530077,11.23
2008-10-31,31.15425152685339,11.23
2008-11-30,20.182579808775717,11.23
2008-12-31,20.82977163250511,13.79
2009-01-31,18.92777486093446,13.79
2009-02-28,25.48314489679712,13.79
2009-03-31,28.73397174278833,17.24
2009-04-30,19.2329455313734,17.24
2009-05-31,28.558336690400427,17.24
2009-06-30,25.66190334551666,17.77
2009-07-31,25.63160565757171,17.77
2009-08-31,23.5671612963412,17.77
2009-09-30,22.742672926011025,17.75
2009-10-31,23.445264374700862,17.75
2009-11-30,27.30934764112793,17.75
2009-12-31,17.708222497506735,18.66
2010-01-31,17.405147320268572,18.66
2010-02-28,17.633226819559646,18.66
2010-03-31,27.876883488197,19.84
2010-04-30,21.625204429927077,19.84
2010-05-31,18.860221163700228,19.84
2010-06-30,19.83096042674179,19.89
2010-07-31,24.24848033172968,19.89
2010-08-31,21.536846010842925,19.89
2010-09-30,20.0949872508926,19.59
2010-10-31,21.018377160656524,19.59
2010-11-30,17.926363323183093,19.59
2010-12-31,20.538174426969682,20.11
2011-01-31,25.59699474794517,20.11
2011-02-28,26.29515401693897,20.11
2011-03-31,21.30529826619143,21.08
2011-04-30,24.652416774352197,21.08
2011-05-31,20.99982888851412,21.08
2011-06-30,19.59346320950626,20.64
2011-07-31,21.31697400692089,20.64
2011-08-31,23.102519267970013,20.64
2011-09-30,21.99154770164321,21.28
2011-10-31,24.441703201819426,21.28
2011-11-30,19.247260542646266,21.28
2011-12-31,17.943079023050608,22.56
2012-01-31,23.29036971199495,22.56
2012-02-29,25.647737973012706,22.56
2012-03-31,27.947709739263807,24.19
2012-04-30,15.694662289468884,24.19
2012-05-31,20.008140609301513,24.19
2012-06-30,25.043164487924393,24.4
2012-07-31,22.512194745049268,24.4
2012-08-31,25.770376547396783,24.4
2012-09-30,21.197684953869988,24.79
2012-10-31,19.5926310805232,24.79
2012-11-30,17.639700886062574,24.79
2012-12-31,18.38449771553188,25.77
2013-01-31,18.221587825537643,25.77
2013-02-28,17.103670534054437,25.77
2013-03-31,16.154087606739562,26.94
2013-04-30,18.25428192203429,26.94
2013-05-31,16.831029974193964,26.94
2013-06-30,20.632804520763965,26.06
2013-07-31,23.62111745662891,26.06
2013-08-31,21.252797597981527,26.06
2013-09-30,20.630053281290788,25.65
2013-10-31,20.03267632392315,25.65
2013-11-30,16.972348894074898,25.65
2013-12-31,23.00703328898561,25.73
2014-01-31,17.171057802170697,25.73
2014-02-28,15.746430556034793,25.73
2014-03-31,23.44850831613401,25.93
2014-04-30,17.973530630560692,25.93
